trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	framewise_displacement	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	csf	white_matter
4.388869999999999577e-03	-1.753930000000000072e-02	-6.944729999999999653e-03	3.041429999999999915e-04	3.353969999999999738e-04	-3.897759999999999897e-04	0.000000000000000000e+00	-2.271973589999999946e-02	-1.799230010000000060e-02	4.263405669999999897e-02	-5.189945890000000062e-02	6.886887229999999471e-02	-8.114392709999999898e-02	9.167640411339699540e+02	1.100780776999519958e+03
1.126500000000000006e-04	-1.766739999999999977e-02	1.431720000000000041e-02	1.038770000000000058e-03	-3.107580000000000086e-04	-5.779509999998999788e-04	1.041141000000000011e-01	-2.199243650000000036e-02	-4.192825099999999972e-02	1.532740240000000052e-02	-4.124865500000000212e-02	5.194523270000000331e-02	-4.192604409999999698e-02	9.055394395679236368e+02	1.100601499708124948e+03
1.299479999998999925e-04	5.508020000000000163e-05	4.408229999999999787e-02	1.418409999999999940e-03	-3.677479999999999898e-04	-5.779509999998999788e-04	6.933637819999989571e-02	3.167852489999999771e-02	-5.700410880000000152e-02	6.951805099999999737e-03	1.058878509999999946e-02	7.279579610000000423e-02	-5.783243350000000227e-02	9.111791017912328243e+02	1.098633676567902967e+03
-6.611070000000000141e-03	-6.505589999999999984e-02	1.076099999999999973e-01	2.056350000000000192e-03	-5.175439999999999902e-04	-5.779509999998999788e-04	1.747664982000000089e-01	8.278314259999999813e-02	-1.000894709000000049e-01	4.111626179999999797e-02	7.638580250000000238e-02	7.188028990000000507e-02	2.781870349999999992e-02	9.088461669370532263e+02	1.095477592268141052e+03
-1.997519999999999851e-02	-1.763270000000000115e-01	3.572659999999999725e-01	-3.552379999999999947e-03	-3.244790000000000001e-03	-2.640710000000000106e-03	8.942279800000001444e-01	1.220419073000000021e-01	-3.112165060000000039e-01	1.791937644000000107e-01	9.570872490000000010e-02	-8.092491285999999784e-01	1.593395633999999950e-01	9.128464324034752053e+02	1.094290325712159756e+03
1.096410000000000023e-01	9.396179999999999810e-02	-8.838889999999989533e-02	4.482279999999999945e-03	2.133920000000000088e-03	1.904059999999999954e-03	1.743466899999999820e+00	-2.546074790000000046e-02	1.717774329999999933e-02	9.899868600000000241e-02	-4.316753399999999699e-03	-3.141246889999999709e-02	2.968849980000000041e-02	9.000598245978356999e+02	1.098922816110682106e+03
-4.467910000000000284e-03	-1.900740000000000068e-02	-1.551990000000000036e-01	1.932729999999999908e-03	-1.472159999999999918e-03	-8.620339999998999489e-04	7.399744099999999714e-01	4.140026300000000312e-03	2.272344349999999916e-02	8.059789489999999446e-02	7.145730399999999580e-03	7.145925620000000145e-02	-2.184505839999999893e-02	9.056319418430327914e+02	1.097344836123523692e+03
-8.514239999999900430e-03	1.290700000000000007e-02	-4.647430000000000311e-02	-7.003389999998999461e-04	1.333729999999999985e-03	-2.104909999999999876e-04	4.492105300000001078e-01	-5.665772999999999816e-03	-8.801187199999999447e-03	6.855535540000000372e-02	-2.629858120000000063e-02	2.723271270000000160e-02	-5.293485380000000073e-02	9.128832959339024455e+02	1.099316389027089599e+03
2.215109999999999996e-02	2.023259999999999989e-02	-2.873699999999999866e-02	1.274500000000000025e-03	-1.658760000000000009e-03	3.950899999999999730e-05	3.165946900000000119e-01	-3.850696139999999768e-02	-5.051469110000000179e-02	6.345893099999999620e-02	-5.932118449999999876e-02	4.830455210000000194e-02	4.578516900000000230e-03	9.112143625594676450e+02	1.100957236247499623e+03
3.349839999999999762e-02	-5.887230000000000241e-02	1.131790000000000018e-01	2.998269999999999928e-03	-1.440289999999999995e-04	3.950899999999999730e-05	3.942932499999999840e-01	6.407259259999989465e-02	-1.208948643999999961e-01	-4.907492110000000185e-02	3.791252669999999741e-02	7.023889399999999616e-02	4.152216279999999815e-02	9.025974550805985928e+02	1.097346410912491365e+03
