trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	framewise_displacement	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	csf	white_matter
9.538009999999999544e-03	-2.669120000000000173e-02	-8.917339999999998601e-02	1.472659999999999985e-03	-8.569530000000000333e-04	-5.752859999999999398e-04	0.000000000000000000e+00	-8.606126900000000274e-03	-1.033034783999999956e-01	-6.888316610000000395e-02	7.099531150000000512e-02	-5.686492299999999778e-02	7.587062840000000086e-02	5.541677515279678801e+02	5.679964788510249036e+02
4.424449999999999965e-05	1.981309999999999669e-02	-5.655430000000000179e-02	-1.673979999999999988e-04	-8.205079999999997410e-04	-9.863940000000000295e-04	1.929977155000000000e-01	-3.956361000000000253e-04	-8.919477999999999782e-03	-5.315316579999999902e-02	6.802872100000000033e-02	-5.039725530000000592e-02	7.214269349999999359e-02	5.522028569054035643e+02	5.673376007837337056e+02
3.605370000000000102e-03	-4.958660000000000151e-02	-5.646509999999999724e-02	1.745290000000000090e-04	-9.682270000000002151e-04	-5.752859999999999398e-04	1.180877255000000042e-01	6.903067799999999983e-03	-2.779144700000000124e-03	1.059674600000000064e-02	1.912770889999999835e-02	-5.338462099999998628e-02	4.935380720000000221e-02	5.534790999960331419e+02	5.660736095579918583e+02
2.645789999999999956e-05	-2.450669999999999932e-02	-2.383090000000000208e-02	-3.906639999999999581e-05	-6.985610000000001037e-04	-6.802520000000000051e-04	9.070438210000000834e-02	-1.989880199999999929e-03	-1.690560569999999957e-02	-1.680380700000000003e-03	-3.510264009999999879e-02	-4.219875389999999671e-02	5.475414759999999714e-02	5.503249288584504484e+02	5.660109745855662595e+02
-3.331769999999999957e-03	3.287589999999999957e-02	-1.624640000000000112e-02	-4.077319999999999512e-04	-5.166860000000000333e-04	-6.637030000000000794e-04	9.667980789999999769e-02	2.928627129999999967e-02	-4.885144670000000217e-02	1.568915339999999922e-02	1.845029429999999956e-02	9.614124200000000176e-02	6.651790420000000537e-02	5.509993494961943270e+02	5.662046400287903225e+02
-9.129520000000000343e-03	-1.471659999999999982e-02	2.276559999999999695e-02	1.870270000000000049e-03	-1.881869999999999897e-03	-9.307780000000000524e-04	2.879152999999999851e-01	-7.703937769999999463e-02	-1.800491147999999930e-01	-8.235373699999999630e-02	-7.665099699999999849e-02	5.194836000000000419e-03	-1.653337480000000026e-02	5.542901234683536131e+02	5.680468189695632191e+02
6.402210000000000192e-03	-6.330109999999999904e-02	-3.154490000000000072e-02	4.077409999999999845e-04	-1.975090000000000092e-03	-6.545230000000000622e-04	2.100269300000000006e-01	1.598374139999999763e-02	7.710208999999999552e-04	6.213084440000000291e-02	-2.778992100000000128e-03	-4.740398929999999761e-02	-3.141717580000000232e-02	5.486618391899835387e+02	5.650741009874911924e+02
-4.507119999999999632e-05	-4.345130000000000520e-02	-3.735449999999999882e-02	2.313509999999999742e-04	-8.538169999999999874e-04	-4.179850000000000037e-04	1.088167311999999887e-01	3.024629000000000141e-04	2.577586189999999874e-02	4.617805590000000071e-02	-2.701435010000000081e-02	-7.368970639999999905e-02	4.381649900000000354e-03	5.486309024634815614e+02	5.647848853278101160e+02
-3.357490000000000189e-06	7.419789999999996943e-02	-2.363290000000000182e-02	-9.447760000000000359e-04	-1.002920000000000027e-03	-3.863900000000000190e-04	1.992537637100000036e-01	2.564978470000000080e-02	-2.369031539999999839e-02	-1.085548180000000043e-02	6.148427470000000089e-02	6.563882919999999843e-02	3.611371909999999685e-02	5.509606442139261162e+02	5.663838898274798339e+02
5.744370000000000379e-03	3.508299999999999613e-02	4.169250000000000039e-02	-1.136230000000000009e-03	-5.998769999999999623e-04	-2.129140000000000015e-04	1.485866774900000131e-01	5.038492200000000386e-03	-1.359948716000000113e-01	-1.055185061000000063e-01	5.420440790000000120e-02	9.775276299999999946e-03	-3.217148040000000070e-02	5.528383660160358204e+02	5.683133507671190046e+02
1.732839999999999828e-05	-6.182909999999999101e-02	1.880909999999999874e-02	-2.487819999999999962e-03	-1.458770000000000075e-03	-5.752859999999999398e-04	2.541652916000000095e-01	2.422129600000000067e-03	1.308293974999999998e-01	3.815140800000000124e-03	6.326127789999999584e-02	-4.174231099999999722e-02	-1.412541999999999921e-03	5.528580280244349296e+02	5.650753619981462634e+02
-2.384099999999999756e-06	1.865609999999999968e-03	-1.560749999999999811e-02	-9.176720000000000189e-04	-6.900619999999999671e-04	-5.752859999999999398e-04	2.150738225000000114e-01	1.528496529999999985e-02	3.075891970000000156e-02	1.910214550000000067e-02	-6.663808400000000368e-03	2.276159909999999828e-02	4.503131259999999803e-02	5.479206639712766673e+02	5.650316851745468512e+02
-1.114929999999999886e-06	2.683859999999999718e-02	-3.326470000000000208e-03	-7.199150000000000080e-04	-8.274930000000000003e-04	-5.752859999999999398e-04	5.401468916999999093e-02	2.099753050000000010e-02	2.931856269999999834e-02	8.418752019999999059e-02	-1.317273270000000017e-02	9.326324580000000530e-02	3.169997360000000042e-02	5.496254838463805754e+02	5.643501232451303622e+02
-7.230230000000000230e-06	3.624689999999999857e-02	2.998209999999999764e-02	-1.680010000000000010e-03	-7.106519999999999851e-04	-5.752859999999999398e-04	9.656978530000000227e-02	2.016088070000000149e-02	2.034246090000000132e-02	4.920110550000000166e-02	-3.002857199999999904e-03	1.306135156000000075e-01	-1.462562879999999670e-02	5.479421821832656860e+02	5.645361653057577769e+02
-1.751589999999999945e-05	3.628090000000000481e-02	3.000480000000000161e-02	-1.270660000000000062e-03	-6.578260000000000270e-04	-5.752859999999999398e-04	2.317578566999999728e-02	3.664637910000000109e-02	9.253032700000000249e-03	5.703679779999999699e-02	-3.056563550000000046e-02	1.576750899999999900e-02	-3.612667540000000233e-02	5.491012094545932314e+02	5.648547711115024867e+02
-1.004460000000000070e-04	4.941980000000000678e-02	2.993890000000000093e-02	-1.814639999999999960e-03	-3.949819999999999937e-04	-7.185369999999999951e-05	7.880054509999999401e-02	2.046711699999999995e-02	6.833223419999999437e-02	4.135218460000000124e-02	1.697468799999999993e-03	2.650083400000000089e-02	-4.977755000000000374e-03	5.453629529206526740e+02	5.644860687915502240e+02
-7.875029999999999877e-03	-9.578319999999999543e-03	1.269710000000000005e-01	-1.944669999999999906e-03	-7.150260000000000079e-04	-5.752859999999999398e-04	2.114801189999999942e-01	-2.809733730000000054e-02	-5.170895360000000301e-02	-4.326675020000000232e-02	-4.711239400000000015e-03	2.793967600000000270e-03	-1.418878792000000111e-01	5.511500457283996184e+02	5.660604835834456026e+02
